year	filing_id	filing_date	owner	asset	ticker	type	transaction_date	notification_date	amount_range	price_trade_date	price_filing_date	pdf_url
2019	20012288	09/18/2019	SP	Visa Inc.	V	Sell	08/07/2019	08/07/2019	$100,001	173.7967	175.1	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012288.pdf
2019	20012288	09/18/2019	SP	Visa Inc.	V	Sell	08/07/2019	08/07/2019	$100,001	173.7967	175.1	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012288.pdf
2019	20012127	08/13/2019	SP	Amazon.com, Inc. [oP]	AMZN	Buy	07/22/2019	07/22/2019	$500,001	98.8815	90.6013	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012127.pdf
2019	20012127	08/13/2019	SP	Netflix, Inc. [oP]	NFLX	Buy	07/22/2019	07/22/2019	$100,001	31.0323	31.229	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012127.pdf
2019	20012127	08/13/2019	SP	Netflix, Inc. [oP]	NFLX	Buy	07/05/2019	07/05/2019	$250,001	37.917	31.229	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012127.pdf
2021	20018011	01/21/2021	SP	AllianceBernstein Holding l.	AB	Buy	12/22/2020	12/22/2020	$500,001	33.39	35.88	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018011.pdf
2021	20018011	01/21/2021	SP	Apple Inc.	AAPL	Buy	12/22/2020	12/22/2020	$250,001	131.98	136.71	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018011.pdf
2021	20018011	01/21/2021	SP	Tesla, Inc.	TSLA	Buy	12/22/2020	12/22/2020	$500,001	211.6056	282.4589	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018011.pdf
2021	20018011	01/21/2021	SP	Walt Disney Company	DIS	Buy	12/22/2020	12/22/2020	$500,001	170.3533	172.4333	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018011.pdf
2021	20019331	08/20/2021	SP	NVIDIA Corporation	NVDA	Buy	07/23/2021	07/23/2021	$500,001	19.5027	20.538	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019331.pdf
2021	20019331	08/20/2021	SP	NVIDIA Corporation	NVDA	Buy	07/23/2021	07/23/2021	$250,001	19.5027	20.538	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019331.pdf
2021	20018539	04/09/2021	SP	Microsoft Corporation	MSFT	Buy	03/19/2021	03/19/2021	$1,000,001	230.7233	254.76	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018539.pdf
2021	20018539	04/09/2021	SP	Microsoft Corporation	MSFT	Buy	03/19/2021	03/19/2021	$1,000,001	230.7233	254.76	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018539.pdf
2021	20018539	04/09/2021	SP	Roblox Corporation	RBLX	Buy	03/10/2021	03/10/2021	$500,001	68.2767	72.3417	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018539.pdf
2021	20020106	12/29/2021	SP	Alphabet Inc. - Class C Capital	GOOGL	Buy	12/17/2021	12/17/2021	$500,001	142.2865	146.5732	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020106.pdf
2021	20020106	12/29/2021	SP	Micron Technology, Inc.	MU	Buy	12/21/2021	12/21/2021	$250,001	89.7233	95.61	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020106.pdf
2021	20020106	12/29/2021	SP	Roblox Corporation Class A	RBLX	Buy	12/20/2021	12/20/2021	$250,001	98.78	97.05	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020106.pdf
2021	20020106	12/29/2021	SP	Salesforce.com Inc	CRM	Buy	12/20/2021	12/20/2021	$500,001	248.4167	254.6967	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020106.pdf
2021	20020106	12/29/2021	SP	Salesforce.com Inc	CRM	Buy	12/20/2021	12/20/2021	$100,001	248.4167	254.6967	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020106.pdf
2021	20020106	12/29/2021	SP	Walt Disney Company	DIS	Buy	12/17/2021	12/17/2021	$100,001	148.39	154.99	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20020106.pdf
2021	20019004	07/02/2021	SP	Alphabet Inc. - Class A	GOOGL	Buy	06/18/2021	06/18/2021	$1,000,001	120.5763	124.5737	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019004.pdf
2021	20019004	07/02/2021	SP	Amazon.com, Inc.	AMZN	Buy	05/21/2021	05/21/2021	$500,001	160.9463	174.327	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019004.pdf
2021	20019004	07/02/2021	SP	Apple Inc.	AAPL	Buy	05/21/2021	05/21/2021	$100,001	126.2133	139.2367	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019004.pdf
2021	20019004	07/02/2021	SP	NVIDIA Corporation	NVDA	Buy	06/03/2021	06/03/2021	$1,000,001	16.9373	20.4267	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019004.pdf
2021	20018355	03/09/2021	SP	AllianceBernstein Holding l.	AB	Buy	02/18/2021	02/18/2021	$500,001	37.8967	37.92	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018355.pdf
2021	20018355	03/09/2021	SP	AllianceBernstein Holding l.	AB	Buy	02/23/2021	02/23/2021	$500,001	36.1133	37.92	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018355.pdf
2020	20017123	09/03/2020	SP	Facebook, Inc. - Class A	FB	Sell	08/07/2020	08/07/2020	$1,000,001	270.2533	290.7833	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017123.pdf
2020	20017834	12/10/2020	SP	Apple Inc.	AAPL	Sell	11/06/2020	11/06/2020	$500,001	118.0067	122.42	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017834.pdf
2020	20016726	06/09/2020	SP	apple Inc.	AAPL	Sell	05/08/2020	05/08/2020	$500,001	77.0642	85.1342	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016726.pdf
2020	20016726	06/09/2020	SP	apple Inc.	AAPL	Sell	05/08/2020	05/08/2020	$500,001	77.0642	85.1342	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016726.pdf
2020	20016726	06/09/2020	SP	apple Inc.	AAPL	Sell	05/08/2020	05/08/2020	$1,000,001	77.0642	85.1342	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016726.pdf
2020	20016726	06/09/2020	SP	Facebook, Inc. - Class a	FB	Sell	05/08/2020	05/08/2020	$1,000,001	212.1367	236.2833	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016726.pdf
2020	20016726	06/09/2020	SP	Morningstar, Inc.	MORN	Sell	05/08/2020	05/08/2020	$100,001	143.4267	152.9333	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016726.pdf
2020	20016726	06/09/2020	SP	Visa Inc.	V	Sell	05/08/2020	05/08/2020	$500,001	184.82	199.6633	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016726.pdf
2020	20016726	06/09/2020	SP	Visa Inc.	V	Sell	05/08/2020	05/08/2020	$500,001	184.82	199.6633	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016726.pdf
2020	20016961	07/20/2020	SP	American Express Company	AXP	Buy	06/24/2020	06/24/2020	$100,001	96.25	94.3133	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016961.pdf
2020	20016961	07/20/2020	SP	Apple Inc.	AAPL	Sell	06/18/2020	06/18/2020	$1,000,001	87.8667	97.64	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016961.pdf
2020	20016961	07/20/2020	SP	Netflix, Inc.	NFLX	Buy	06/18/2020	06/18/2020	$1,000,001	44.8477	49.7037	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016961.pdf
2020	20016961	07/20/2020	SP	PayPal Holdings, Inc.	PYPL	Buy	06/12/2020	06/12/2020	$500,001	154.7867	177.0467	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016961.pdf
2020	20016961	07/20/2020	SP	PayPal Holdings, Inc.	PYPL	Buy	06/12/2020	06/12/2020	$500,001	154.7867	177.0467	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016961.pdf
2020	20016961	07/20/2020	SP	PayPal Holdings, Inc.	PYPL	Buy	06/24/2020	06/24/2020	$250,001	168.59	177.0467	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016961.pdf
2020	20016961	07/20/2020	SP	Salesforce.com Inc	CRM	Buy	06/18/2020	06/18/2020	$1,000,001	186.0933	192.5567	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016961.pdf
2018	20009293	04/16/2018	SP	Dropbox, Inc. - Class a	DBX	Buy	03/27/2018	03/27/2018	$250,001 - $500,000	29.86	29.14	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009293.pdf
